species,block,street,trap,nummosquitos,wnvpresent,latitude,longitude,year,month,day
CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,1,0,41.95469,-87.800991,2007,5,29
CULEX RESTUANS,41, N OAK PARK AVE,T002,1,0,41.95469,-87.800991,2007,5,29
CULEX RESTUANS,62, N MANDELL AVE,T007,1,0,41.994991,-87.769279,2007,5,29
CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,41.974089,-87.824812,2007,5,29
CULEX RESTUANS,79, W FOSTER AVE,T015,4,0,41.974089,-87.824812,2007,5,29
CULEX RESTUANS,15, W WEBSTER AVE,T045,2,0,41.9216,-87.666455,2007,5,29
CULEX RESTUANS,25, W GRAND AVE,T046,1,0,41.891118,-87.654491,2007,5,29
CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,1,0,41.867108,-87.654224,2007,5,29
CULEX RESTUANS,11, W ROOSEVELT,T048,2,0,41.867108,-87.654224,2007,5,29
CULEX RESTUANS,11, W CHICAGO,T049,1,0,41.896282,-87.655232,2007,5,29
CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,1,0,41.919343,-87.694259,2007,5,29
CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,2,0,41.921965,-87.632085,2007,5,29
CULEX RESTUANS,22, N CANNON DR,T054,3,0,41.921965,-87.632085,2007,5,29
CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,1,0,41.688324,-87.676709,2007,5,29
CULEX RESTUANS,22, W 113TH ST,T086,1,0,41.688324,-87.676709,2007,5,29
CULEX RESTUANS,11, S PEORIA ST,T091,1,0,41.862292,-87.64886,2007,5,29
CULEX RESTUANS,17, W 95TH ST,T094,3,0,41.720848,-87.666014,2007,5,29
CULEX RESTUANS,22, W 89TH ST,T096,5,0,41.731922,-87.677512,2007,5,29
CULEX PIPIENS,22, W 89TH ST,T096,1,0,41.731922,-87.677512,2007,5,29
CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,1,0,41.891126,-87.61156,2007,5,29
CULEX RESTUANS,53, N STREETER DR,T129,2,0,41.891126,-87.61156,2007,5,29
CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,1,0,41.999129,-87.795585,2007,5,29
CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,1,0,42.01743,-87.687769,2007,5,29
CULEX RESTUANS,15, N LONG AVE,T153,1,0,41.907645,-87.760886,2007,5,29
CULEX RESTUANS,89, S CARPENTER ST,T159,1,0,41.732984,-87.649642,2007,5,29
CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,3,0,41.95469,-87.800991,2007,6,5
CULEX RESTUANS,41, N OAK PARK AVE,T002,5,0,41.95469,-87.800991,2007,6,5
CULEX PIPIENS,41, N OAK PARK AVE,T002,1,0,41.95469,-87.800991,2007,6,5
CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,41.974089,-87.824812,2007,6,5
CULEX RESTUANS,79, W FOSTER AVE,T015,2,0,41.974089,-87.824812,2007,6,5
CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,1,0,41.9216,-87.666455,2007,6,5
CULEX RESTUANS,15, W WEBSTER AVE,T045,2,0,41.9216,-87.666455,2007,6,5
CULEX PIPIENS,15, W WEBSTER AVE,T045,1,0,41.9216,-87.666455,2007,6,5
CULEX RESTUANS,25, W GRAND AVE,T046,1,0,41.891118,-87.654491,2007,6,5
CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,1,0,41.867108,-87.654224,2007,6,5
CULEX RESTUANS,11, W ROOSEVELT,T048,1,0,41.867108,-87.654224,2007,6,5
CULEX PIPIENS,11, W ROOSEVELT,T048,2,0,41.867108,-87.654224,2007,6,5
CULEX RESTUANS,11, W CHICAGO,T049,2,0,41.896282,-87.655232,2007,6,5
CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,1,0,41.919343,-87.694259,2007,6,5
CULEX RESTUANS,21, N STAVE ST,T050,1,0,41.919343,-87.694259,2007,6,5
CULEX RESTUANS,22, N CANNON DR,T054,3,0,41.921965,-87.632085,2007,6,5
CULEX RESTUANS,22, W 113TH ST,T086,4,0,41.688324,-87.676709,2007,6,5
CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,2,0,41.720848,-87.666014,2007,6,5
CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,1,0,41.731922,-87.677512,2007,6,5
CULEX RESTUANS,22, W 89TH ST,T096,1,0,41.731922,-87.677512,2007,6,5
CULEX PIPIENS,22, W 89TH ST,T096,1,0,41.731922,-87.677512,2007,6,5
CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,2,0,41.999129,-87.795585,2007,6,5
CULEX RESTUANS,65, N OAK PARK AVE,T143,9,0,41.999129,-87.795585,2007,6,5
CULEX RESTUANS,15, N LONG AVE,T153,3,0,41.907645,-87.760886,2007,6,5
CULEX RESTUANS,89, S CARPENTER ST,T159,1,0,41.732984,-87.649642,2007,6,5
CULEX RESTUANS,91, W HIGGINS AVE,T009,2,0,41.981964,-87.812827,2007,6,5
CULEX RESTUANS,36, N PITTSBURGH AVE,T011,1,0,41.944869,-87.832763,2007,6,5
CULEX RESTUANS,72, N OKETO AVE,T016,1,0,42.011601,-87.811506,2007,6,5
CULEX RESTUANS,38, N CALIFORNIA AVE,T019,1,0,41.94983,-87.698457,2007,6,5
CULEX RESTUANS,49, W BALMORAL AVE,T025,1,0,41.979243,-87.750938,2007,6,5
CULEX RESTUANS,58, N WESTERN AVE,T028,2,0,41.986921,-87.689778,2007,6,5
CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,1,0,41.801498,-87.763416,2007,6,5
CULEX RESTUANS,14, N HUMBOLDT DR,T033,3,0,41.906638,-87.701431,2007,6,5
CULEX RESTUANS,10, S VINCENNES,T089,1,0,41.723195,-87.64997,2007,6,5
CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,1,0,41.868077,-87.666901,2007,6,5
CULEX RESTUANS,11, S ASHLAND AVE,T090,7,0,41.868077,-87.666901,2007,6,5
CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,1,0,41.869216,-87.627561,2007,6,5
CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,2,0,41.662014,-87.724608,2007,6,5
CULEX RESTUANS,42, W 127TH PL,T135,4,0,41.662014,-87.724608,2007,6,5
CULEX PIPIENS,42, W 127TH PL,T135,1,0,41.662014,-87.724608,2007,6,5
CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,1,0,41.961743,-87.76007,2007,6,5
CULEX RESTUANS,53, W AGATITE AVE,T141,2,0,41.961743,-87.76007,2007,6,5
CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,1,0,41.953067,-87.776792,2007,6,5
CULEX RESTUANS,40, N AUSTIN AVE,T142,3,0,41.953067,-87.776792,2007,6,5
CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,3,0,41.878114,-87.629798,2007,6,5
CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,1,0,41.958271,-87.702575,2007,6,5
CULEX RESTUANS,42, N RICHMOND ST,T146,2,0,41.958271,-87.702575,2007,6,5
CULEX RESTUANS,28, N FRANCISCO AVE,T147,1,0,41.932094,-87.700117,2007,6,5
CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,1,0,41.994469,-87.667736,2007,6,5
CULEX RESTUANS,18, W FARWELL AVE,T150,2,0,42.006858,-87.675919,2007,6,5
CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,1,0,41.916265,-87.800515,2007,6,5
CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,10,0,41.916265,-87.800515,2007,6,5
CULEX RESTUANS,25, S MILLARD AVE,T152,1,0,41.846075,-87.716277,2007,6,5
CULEX RESTUANS,21, N LAWLER AVE,T154,1,0,41.918705,-87.752329,2007,6,5
CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,3,0,41.682587,-87.707973,2007,6,5
CULEX RESTUANS,35, W 116TH ST,T158,8,0,41.682587,-87.707973,2007,6,5
CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,1,0,41.725517,-87.614258,2007,6,5
CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,2,0,41.948167,-87.730698,2007,6,5
CULEX RESTUANS,37, N KEDVALE AVE,T218,1,0,41.948167,-87.730698,2007,6,5
CULEX RESTUANS,45, N CAMPBELL AVE,T220,1,0,41.963976,-87.69181,2007,6,5
