,species,block,street,trap,nummosquitos,wnvpresent,year,month,day,latitude,longitude
0,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,1,0,2007,05,29,41.95469,-87.800991
1,CULEX RESTUANS,41, N OAK PARK AVE,T002,1,0,2007,05,29,41.95469,-87.800991
2,CULEX RESTUANS,62, N MANDELL AVE,T007,1,0,2007,05,29,41.994991,-87.769279
3,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,2007,05,29,41.974089,-87.824812
4,CULEX RESTUANS,79, W FOSTER AVE,T015,4,0,2007,05,29,41.974089,-87.824812
5,CULEX RESTUANS,15, W WEBSTER AVE,T045,2,0,2007,05,29,41.9216,-87.666455
6,CULEX RESTUANS,25, W GRAND AVE,T046,1,0,2007,05,29,41.891118,-87.65449100000001
7,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,1,0,2007,05,29,41.867108,-87.654224
8,CULEX RESTUANS,11, W ROOSEVELT,T048,2,0,2007,05,29,41.867108,-87.654224
9,CULEX RESTUANS,11, W CHICAGO,T049,1,0,2007,05,29,41.896282,-87.655232
10,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,1,0,2007,05,29,41.919343,-87.694259
11,CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,2,0,2007,05,29,41.921965,-87.632085
12,CULEX RESTUANS,22, N CANNON DR,T054,3,0,2007,05,29,41.921965,-87.632085
13,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,1,0,2007,05,29,41.688324,-87.676709
14,CULEX RESTUANS,22, W 113TH ST,T086,1,0,2007,05,29,41.688324,-87.676709
15,CULEX RESTUANS,11, S PEORIA ST,T091,1,0,2007,05,29,41.862292,-87.64886
16,CULEX RESTUANS,17, W 95TH ST,T094,3,0,2007,05,29,41.720848,-87.666014
17,CULEX RESTUANS,22, W 89TH ST,T096,5,0,2007,05,29,41.731922,-87.677512
18,CULEX PIPIENS,22, W 89TH ST,T096,1,0,2007,05,29,41.731922,-87.677512
19,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,1,0,2007,05,29,41.891126,-87.61156
20,CULEX RESTUANS,53, N STREETER DR,T129,2,0,2007,05,29,41.891126,-87.61156
21,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,1,0,2007,05,29,41.999128999999996,-87.795585
22,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,1,0,2007,05,29,42.01743,-87.68776899999999
23,CULEX RESTUANS,15, N LONG AVE,T153,1,0,2007,05,29,41.907645,-87.760886
24,CULEX RESTUANS,89, S CARPENTER ST,T159,1,0,2007,05,29,41.732984,-87.649642
25,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,3,0,2007,06,05,41.95469,-87.800991
26,CULEX RESTUANS,41, N OAK PARK AVE,T002,5,0,2007,06,05,41.95469,-87.800991
27,CULEX PIPIENS,41, N OAK PARK AVE,T002,1,0,2007,06,05,41.95469,-87.800991
28,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,2007,06,05,41.974089,-87.824812
29,CULEX RESTUANS,79, W FOSTER AVE,T015,2,0,2007,06,05,41.974089,-87.824812
30,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,1,0,2007,06,05,41.9216,-87.666455
31,CULEX RESTUANS,15, W WEBSTER AVE,T045,2,0,2007,06,05,41.9216,-87.666455
32,CULEX PIPIENS,15, W WEBSTER AVE,T045,1,0,2007,06,05,41.9216,-87.666455
33,CULEX RESTUANS,25, W GRAND AVE,T046,1,0,2007,06,05,41.891118,-87.65449100000001
34,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,1,0,2007,06,05,41.867108,-87.654224
35,CULEX RESTUANS,11, W ROOSEVELT,T048,1,0,2007,06,05,41.867108,-87.654224
36,CULEX PIPIENS,11, W ROOSEVELT,T048,2,0,2007,06,05,41.867108,-87.654224
37,CULEX RESTUANS,11, W CHICAGO,T049,2,0,2007,06,05,41.896282,-87.655232
38,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,1,0,2007,06,05,41.919343,-87.694259
39,CULEX RESTUANS,21, N STAVE ST,T050,1,0,2007,06,05,41.919343,-87.694259
40,CULEX RESTUANS,22, N CANNON DR,T054,3,0,2007,06,05,41.921965,-87.632085
41,CULEX RESTUANS,22, W 113TH ST,T086,4,0,2007,06,05,41.688324,-87.676709
42,CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,2,0,2007,06,05,41.720848,-87.666014
43,CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,1,0,2007,06,05,41.731922,-87.677512
44,CULEX RESTUANS,22, W 89TH ST,T096,1,0,2007,06,05,41.731922,-87.677512
45,CULEX PIPIENS,22, W 89TH ST,T096,1,0,2007,06,05,41.731922,-87.677512
46,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,2,0,2007,06,05,41.999128999999996,-87.795585
47,CULEX RESTUANS,65, N OAK PARK AVE,T143,9,0,2007,06,05,41.999128999999996,-87.795585
