,species,block,street,trap,nummosquitos,wnvpresent,year,month,day,latitude,longitude
0,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,1,0,2007,05,29,41,-87
1,CULEX RESTUANS,41, N OAK PARK AVE,T002,1,0,2007,05,29,41,-87
2,CULEX RESTUANS,62, N MANDELL AVE,T007,1,0,2007,05,29,41,-87
3,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,2007,05,29,41,-87
4,CULEX RESTUANS,79, W FOSTER AVE,T015,4,0,2007,05,29,41,-87
5,CULEX RESTUANS,15, W WEBSTER AVE,T045,2,0,2007,05,29,41,-87
6,CULEX RESTUANS,25, W GRAND AVE,T046,1,0,2007,05,29,41,-87
7,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,1,0,2007,05,29,41,-87
8,CULEX RESTUANS,11, W ROOSEVELT,T048,2,0,2007,05,29,41,-87
9,CULEX RESTUANS,11, W CHICAGO,T049,1,0,2007,05,29,41,-87
10,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,1,0,2007,05,29,41,-87
11,CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,2,0,2007,05,29,41,-87
12,CULEX RESTUANS,22, N CANNON DR,T054,3,0,2007,05,29,41,-87
13,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,1,0,2007,05,29,41,-87
14,CULEX RESTUANS,22, W 113TH ST,T086,1,0,2007,05,29,41,-87
15,CULEX RESTUANS,11, S PEORIA ST,T091,1,0,2007,05,29,41,-87
16,CULEX RESTUANS,17, W 95TH ST,T094,3,0,2007,05,29,41,-87
17,CULEX RESTUANS,22, W 89TH ST,T096,5,0,2007,05,29,41,-87
18,CULEX PIPIENS,22, W 89TH ST,T096,1,0,2007,05,29,41,-87
19,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,1,0,2007,05,29,41,-87
20,CULEX RESTUANS,53, N STREETER DR,T129,2,0,2007,05,29,41,-87
21,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,1,0,2007,05,29,41,-87
22,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,1,0,2007,05,29,42,-87
23,CULEX RESTUANS,15, N LONG AVE,T153,1,0,2007,05,29,41,-87
24,CULEX RESTUANS,89, S CARPENTER ST,T159,1,0,2007,05,29,41,-87
25,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,3,0,2007,06,05,41,-87
26,CULEX RESTUANS,41, N OAK PARK AVE,T002,5,0,2007,06,05,41,-87
27,CULEX PIPIENS,41, N OAK PARK AVE,T002,1,0,2007,06,05,41,-87
28,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,2007,06,05,41,-87
29,CULEX RESTUANS,79, W FOSTER AVE,T015,2,0,2007,06,05,41,-87
30,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,1,0,2007,06,05,41,-87
31,CULEX RESTUANS,15, W WEBSTER AVE,T045,2,0,2007,06,05,41,-87
32,CULEX PIPIENS,15, W WEBSTER AVE,T045,1,0,2007,06,05,41,-87
33,CULEX RESTUANS,25, W GRAND AVE,T046,1,0,2007,06,05,41,-87
34,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,1,0,2007,06,05,41,-87
35,CULEX RESTUANS,11, W ROOSEVELT,T048,1,0,2007,06,05,41,-87
36,CULEX PIPIENS,11, W ROOSEVELT,T048,2,0,2007,06,05,41,-87
37,CULEX RESTUANS,11, W CHICAGO,T049,2,0,2007,06,05,41,-87
38,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,1,0,2007,06,05,41,-87
39,CULEX RESTUANS,21, N STAVE ST,T050,1,0,2007,06,05,41,-87
40,CULEX RESTUANS,22, N CANNON DR,T054,3,0,2007,06,05,41,-87
41,CULEX RESTUANS,22, W 113TH ST,T086,4,0,2007,06,05,41,-87
42,CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,2,0,2007,06,05,41,-87
43,CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,1,0,2007,06,05,41,-87
44,CULEX RESTUANS,22, W 89TH ST,T096,1,0,2007,06,05,41,-87
45,CULEX PIPIENS,22, W 89TH ST,T096,1,0,2007,06,05,41,-87
46,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,2,0,2007,06,05,41,-87
47,CULEX RESTUANS,65, N OAK PARK AVE,T143,9,0,2007,06,05,41,-87
48,CULEX RESTUANS,15, N LONG AVE,T153,3,0,2007,06,05,41,-87
49,CULEX RESTUANS,89, S CARPENTER ST,T159,1,0,2007,06,05,41,-87
50,CULEX RESTUANS,91, W HIGGINS AVE,T009,2,0,2007,06,05,41,-87
51,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,1,0,2007,06,05,41,-87
52,CULEX RESTUANS,72, N OKETO AVE,T016,1,0,2007,06,05,42,-87
53,CULEX RESTUANS,38, N CALIFORNIA AVE,T019,1,0,2007,06,05,41,-87
54,CULEX RESTUANS,49, W BALMORAL AVE,T025,1,0,2007,06,05,41,-87
